,B,I,,,,
,-43.45543,2.251585,,,,
,-43.43101,2.21281,,,,
,-43.40659,2.199616,,,,
,-43.38217,2.221119,,,,
,-43.35775,2.235691,,,,
,-43.33333,2.160784,,,,
,-43.30891,2.033301,,,,
,-43.28449,1.881963,,,,
,-43.26007,1.755494,,,,
,-43.23565,1.639953,,,,
,-43.21123,1.525273,,,,
,-43.18681,1.375874,,,,
,-43.16239,1.257062,,,,
,-43.13797,1.157046,,,,
,-43.11355,1.090602,,,,
,-43.08913,1.018824,,,,
,-43.06471,0.9754631,,,,
,-43.04029,0.9558477,,,,
,-43.01587,0.9380789,,,,
,-42.99145,0.9377527,,,,
,-42.96703,0.9656366,,,,
,-42.94261,1.013865,,,,
,-42.91819,1.060624,,,,
,-42.89377,1.077897,,,,
,-42.86935,1.10041,,,,
,-42.84493,1.193066,,,,
,-42.82051,1.308255,,,,
,-42.79609,1.420476,,,,
,-42.77167,1.570495,,,,
,-42.74725,1.725247,,,,
,-42.72283,1.846571,,,,
,-42.69841,1.927934,,,,
,-42.67399,1.922841,,,,
,-42.64957,1.901547,,,,
,-42.62515,1.888639,,,,
,-42.60073,1.902942,,,,
,-42.57631,1.988274,,,,
,-42.55189,2.075492,,,,
,-42.52747,2.188126,,,,
,-42.50305,2.270043,,,,
,-42.47863,2.31734,,,,
,-42.45421,2.343709,,,,
,-42.42979,2.30336,,,,
,-42.40537,2.18573,,,,
,-42.38095,2.043211,,,,
,-42.35653,1.908575,,,,
,-42.33211,1.790177,,,,
,-42.30769,1.703624,,,,
,-42.28327,1.663038,,,,
,-42.25885,1.656558,,,,
,-42.23443,1.670888,,,,
,-42.21001,1.701957,,,,
,-42.18559,1.732236,,,,
,-42.16117,1.73325,,,,
,-42.13675,1.718754,,,,
,-42.11233,1.682053,,,,
,-42.08791,1.586505,,,,
,-42.06349,1.469723,,,,
,-42.03907,1.376719,,,,
,-42.01465,1.336149,,,,
,-41.99023,1.384472,,,,
,-41.96581,1.459936,,,,
,-41.94139,1.498543,,,,
,-41.91697,1.533439,,,,
,-41.89255,1.565332,,,,
,-41.86813,1.586565,,,,
,-41.84371,1.615362,,,,
,-41.81929,1.641364,,,,
,-41.79487,1.674643,,,,
,-41.77045,1.712758,,,,
,-41.74603,1.701313,,,,
,-41.72161,1.630992,,,,
,-41.69719,1.523955,,,,
,-41.67277,1.4164,,,,
,-41.64835,1.314423,,,,
,-41.62393,1.191588,,,,
,-41.59951,1.09788,,,,
,-41.57509,1.042014,,,,
,-41.55067,1.023657,,,,
,-41.52625,1.00588,,,,
,-41.50183,0.9519838,,,,
,-41.47741,0.8910254,,,,
,-41.45299,0.85253,,,,
,-41.42857,0.8546396,,,,
,-41.40415,0.8549004,,,,
,-41.37973,0.9126439,,,,
,-41.35531,1.047993,,,,
,-41.33089,1.242086,,,,
,-41.30647,1.447127,,,,
,-41.28205,1.717304,,,,
,-41.25763,2.103683,,,,
,-41.23321,2.60065,,,,
,-41.20879,3.134066,,,,
,-41.18437,3.600543,,,,
,-41.15995,4.082797,,,,
,-41.13553,4.641734,,,,
,-41.11111,5.252386,,,,
,-41.08669,5.834721,,,,
,-41.06227,6.400668,,,,
,-41.03785,6.911582,,,,
,-41.01343,7.362546,,,,
,-40.98901,7.772056,,,,
,-40.96459,8.162499,,,,
,-40.94017,8.535866,,,,
,-40.91575,8.904417,,,,
,-40.89133,9.235279,,,,
,-40.86691,9.561548,,,,
,-40.84249,9.904811,,,,
,-40.81807,10.17651,,,,
,-40.79365,10.40018,,,,
,-40.76923,10.60548,,,,
,-40.74481,10.77394,,,,
,-40.72039,10.97488,,,,
,-40.69597,11.21727,,,,
,-40.67155,11.49175,,,,
,-40.64713,11.79418,,,,
,-40.62271,12.06881,,,,
,-40.59829,12.27572,,,,
,-40.57387,12.35979,,,,
,-40.54945,12.37647,,,,
,-40.52503,12.35325,,,,
,-40.50061,12.31025,,,,
,-40.47619,12.27203,,,,
,-40.45177,12.25336,,,,
,-40.42735,12.23993,,,,
,-40.40293,12.22897,,,,
,-40.37851,12.24337,,,,
,-40.35409,12.32653,,,,
,-40.32967,12.40917,,,,
,-40.30525,12.48882,,,,
,-40.28083,12.59488,,,,
,-40.25641,12.67652,,,,
,-40.23199,12.72454,,,,
,-40.20757,12.7591,,,,
,-40.18315,12.76128,,,,
,-40.15873,12.72732,,,,
,-40.13431,12.69051,,,,
,-40.10989,12.6997,,,,
,-40.08547,12.74025,,,,
,-40.06105,12.74792,,,,
,-40.03663,12.68231,,,,
,-40.01221,12.57052,,,,
,-39.98779,12.44543,,,,
,-39.96337,12.34259,,,,
,-39.93895,12.25586,,,,
,-39.91453,12.19587,,,,
,-39.89011,12.13366,,,,
,-39.86569,12.07829,,,,
,-39.84127,12.01982,,,,
,-39.81685,11.89591,,,,
,-39.79243,11.69041,,,,
,-39.76801,11.48996,,,,
,-39.74359,11.28222,,,,
,-39.71917,10.98884,,,,
,-39.69475,10.6156,,,,
,-39.67033,10.22144,,,,
,-39.64591,9.839911,,,,
,-39.62149,9.480856,,,,
,-39.59707,9.108204,,,,
,-39.57265,8.756774,,,,
,-39.54823,8.435243,,,,
,-39.52381,8.138366,,,,
,-39.49939,7.862989,,,,
,-39.47497,7.579571,,,,
,-39.45055,7.291643,,,,
,-39.42613,6.997583,,,,
,-39.40171,6.700591,,,,
,-39.37729,6.457896,,,,
,-39.35287,6.258056,,,,
,-39.32845,6.104362,,,,
,-39.30403,5.976101,,,,
,-39.27961,5.859904,,,,
,-39.25519,5.682331,,,,
,-39.23077,5.585577,,,,
,-39.20635,5.50639,,,,
,-39.18193,5.39993,,,,
,-39.15751,5.295463,,,,
,-39.13309,5.200333,,,,
,-39.10867,5.126363,,,,
,-39.08425,5.088592,,,,
,-39.05983,5.102748,,,,
,-39.03541,5.202069,,,,
,-39.01099,5.316091,,,,
,-38.98657,5.37456,,,,
,-38.96215,5.410716,,,,
,-38.93773,5.496653,,,,
,-38.91331,5.603547,,,,
,-38.88889,5.748337,,,,
,-38.86447,5.870717,,,,
,-38.84005,5.958695,,,,
,-38.81563,6.070434,,,,
,-38.79121,6.176097,,,,
,-38.76679,6.277049,,,,
,-38.74237,6.374824,,,,
,-38.71795,6.475,,,,
,-38.69353,6.631304,,,,
,-38.66911,6.862165,,,,
,-38.64469,7.071957,,,,
