B,I
-61.17094,2.156053
-61.12943,2.34159
-61.08791,2.493604
-61.0464,2.622405
-61.00488,2.742611
-60.96337,2.843825
-60.92186,2.919786
-60.88034,2.98764
-60.83883,3.087454
-60.79731,3.226531
-60.7558,3.372425
-60.71429,3.508152
-60.67277,3.646511
-60.63126,3.761255
-60.58974,3.857007
-60.54823,3.957644
-60.50672,4.047757
-60.4652,4.14486
-60.42369,4.24809
-60.38217,4.332121
-60.34066,4.412963
-60.29915,4.503074
-60.25763,4.564964
-60.21612,4.577622
-60.1746,4.572312
-60.13309,4.552765
-60.09158,4.554116
-60.05006,4.603177
-60.00855,4.70945
-59.96703,4.881533
-59.92552,5.073689
-59.884,5.250696
-59.84249,5.405513
-59.80098,5.501551
-59.75946,5.540915
-59.71795,5.539163
-59.67643,5.506654
-59.63492,5.462343
-59.59341,5.398869
-59.55189,5.319001
-59.51038,5.212342
-59.46886,5.084923
-59.42735,4.967226
-59.38584,4.854781
-59.34432,4.74384
-59.30281,4.648778
-59.26129,4.590872
-59.21978,4.578002
-59.17827,4.623064
-59.13675,4.717417
-59.09524,4.832071
-59.05372,4.979626
-59.01221,5.182884
-58.9707,5.395911
-58.92918,5.549593
-58.88767,5.62784
-58.84615,5.665533
-58.80464,5.702816
-58.76313,5.742854
-58.72161,5.796486
-58.6801,5.864572
-58.63858,5.956256
-58.59707,6.06839
-58.55556,6.196236
-58.51404,6.328667
-58.47253,6.473554
-58.43101,6.613455
-58.3895,6.719765
-58.34799,6.776142
-58.30647,6.781897
-58.26496,6.769901
-58.22344,6.797262
-58.18193,6.882835
-58.14042,7.017008
-58.0989,7.181681
-58.05739,7.375781
-58.01587,7.590438
-57.97436,7.844577
-57.93284,8.113797
-57.89133,8.342449
-57.84982,8.524264
-57.8083,8.658552
-57.76679,8.732256
-57.72527,8.790056
-57.68376,8.856195
-57.64225,8.932409
-57.60073,9.006453
-57.55922,9.045969
-57.5177,9.075074
-57.47619,9.123916
-57.43468,9.189719
-57.39316,9.259703
-57.35165,9.293743
-57.31013,9.28155
-57.26862,9.240763
-57.22711,9.181185
-57.18559,9.129614
-57.14408,9.066858
-57.10256,8.971024
-57.06105,8.857029
-57.01954,8.719489
-56.97802,8.545531
-56.93651,8.369608
-56.89499,8.199279
-56.85348,8.041057
-56.81197,7.912817
-56.77045,7.811967
-56.72894,7.728047
-56.68742,7.652845
-56.64591,7.558877
-56.6044,7.432578
-56.56288,7.277286
-56.52137,7.108322
-56.47985,6.93614
-56.43834,6.728379
-56.39683,6.465218
-56.35531,6.161321
-56.3138,5.862938
-56.27228,5.618449
-56.23077,5.446135
-56.18926,5.334547
-56.14774,5.254208
-56.10623,5.177533
-56.06471,5.099379
-56.0232,5.041817
-55.98168,5.033443
-55.94017,5.0746
-55.89866,5.161438
-55.85714,5.264501
-55.81563,5.358046
-55.77411,5.458426
-55.7326,5.557881
-55.69109,5.651858
-55.64957,5.756532
-55.60806,5.896999
-55.56654,6.092741
-55.52503,6.304595
-55.48352,6.482895
-55.442,6.620018
-55.40049,6.755474
-55.35897,6.946898
-55.31746,7.189379
-55.27595,7.44974
-55.23443,7.728734
-55.19292,8.011537
-55.1514,8.281373
-55.10989,8.52967
-55.06838,8.730474
-55.02686,8.889179
-54.98535,9.032087
-54.94383,9.172422
-54.90232,9.293533
-54.86081,9.387457
-54.81929,9.464621
-54.77778,9.528897
-54.73626,9.58799
-54.69475,9.628228
-54.65324,9.628997
-54.61172,9.582966
-54.57021,9.4912
-54.52869,9.363811
-54.48718,9.210727
-54.44567,9.03873
-54.40415,8.856952
-54.36264,8.689134
-54.32112,8.546538
-54.27961,8.42179
-54.2381,8.324669
-54.19658,8.290135
-54.15507,8.284485
-54.11355,8.271068
-54.07204,8.285
-54.03053,8.330519
-53.98901,8.40074
-53.9475,8.475556
-53.90598,8.537564
-53.86447,8.560279
-53.82295,8.549357
-53.78144,8.530538
-53.73993,8.514573
-53.69841,8.521361
-53.6569,8.560315
-53.61538,8.610821
-53.57387,8.684858
-53.53236,8.777115
-53.49084,8.855044
-53.44933,8.917277
-53.40781,8.966505
-53.3663,8.988673
-53.32479,8.995377
-53.28327,9.005511
-53.24176,9.024819
-53.20024,9.087777
-53.15873,9.195879
-53.11722,9.343262
-53.0757,9.522812
-53.03419,9.664891
-52.99267,9.695467
-52.95116,9.638595
-52.90965,9.56854
-52.86813,9.533366
-52.82662,9.544693
-52.7851,9.588524
-52.74359,9.637645
-52.70208,9.667869
-52.66056,9.685541
-52.61905,9.724009
-52.57753,9.792478
-52.53602,9.878272
-52.49451,9.97752
-52.45299,10.09735
-52.41148,10.22772
-52.36996,10.3293
-52.32845,10.42309
-52.28694,10.50984
-52.24542,10.54575
-52.20391,10.51288
-52.16239,10.42554
-52.12088,10.31038
-52.07937,10.19759
-52.03785,10.07137
-51.99634,9.914772
-51.95482,9.736546
-51.91331,9.545264
-51.87179,9.369844
-51.83028,9.255209
-51.78877,9.237057
-51.74725,9.274902
-51.70574,9.339737
-51.66422,9.443305
-51.62271,9.586214
-51.5812,9.716712
-51.53968,9.780148
-51.49817,9.77884
-51.45665,9.7671
-51.41514,9.78051
-51.37363,9.826387
-51.33211,9.920244
-51.2906,10.04794
-51.24908,10.15916
-51.20757,10.25182
-51.16606,10.33383
-51.12454,10.42539
-51.08303,10.53359
-51.04151,10.65217
-51,10.75303
-50.95849,10.79836
-50.91697,10.80147
-50.87546,10.76871
-50.83394,10.67962
-50.79243,10.55459
-50.75092,10.45935
-50.7094,10.41159
-50.66789,10.40404
-50.62637,10.44736
-50.58486,10.51621
-50.54335,10.57169
-50.50183,10.63491
-50.46032,10.73775
-50.4188,10.86802
-50.37729,10.99089
-50.33578,11.08941
-50.29426,11.17065
-50.25275,11.24268
-50.21123,11.31637
-50.16972,11.4091
-50.12821,11.5043
-50.08669,11.57142
-50.04518,11.62222
-50.00366,11.68572
-49.96215,11.74369
-49.92063,11.80984
-49.87912,11.88842
-49.83761,11.99231
-49.79609,12.14031
-49.75458,12.3093
-49.71306,12.46456
-49.67155,12.62439
-49.63004,12.81445
-49.58852,13.02579
-49.54701,13.22221
-49.50549,13.41133
-49.46398,13.59386
-49.42247,13.76952
-49.38095,13.94282
-49.33944,14.08252
-49.29792,14.16322
-49.25641,14.18755
-49.2149,14.14945
-49.17338,14.06553
-49.13187,13.97865
-49.09035,13.90085
-49.04884,13.78897
-49.00733,13.63658
-48.96581,13.47709
-48.9243,13.31765
-48.88278,13.16968
-48.84127,13.02034
-48.79976,12.85344
-48.75824,12.69443
-48.71673,12.58062
-48.67521,12.54011
-48.6337,12.54603
-48.59219,12.5528
-48.55067,12.53871
-48.50916,12.51219
-48.46764,12.49024
-48.42613,12.48607
-48.38462,12.51431
-48.3431,12.57823
-48.30159,12.64167
-48.26007,12.70452
-48.21856,12.80045
-48.17705,12.93501
-48.13553,13.09793
-48.09402,13.2626
-48.0525,13.44117
-48.01099,13.62144
-47.96947,13.77023
-47.92796,13.91799
-47.88645,14.08703
-47.84493,14.24007
-47.80342,14.33276
-47.7619,14.36702
-47.72039,14.35974
-47.67888,14.32308
-47.63736,14.2864
-47.59585,14.26527
-47.55433,14.28014
-47.51282,14.34783
-47.47131,14.44907
-47.42979,14.56538
-47.38828,14.71905
-47.34676,14.88547
-47.30525,15.00996
-47.26374,15.08883
-47.22222,15.15156
-47.18071,15.18531
-47.13919,15.21148
-47.09768,15.25514
-47.05617,15.31341
-47.01465,15.38081
-46.97314,15.43606
-46.93162,15.45278
-46.89011,15.46302
-46.8486,15.49234
-46.80708,15.52457
-46.76557,15.55998
-46.72405,15.59943
-46.68254,15.63784
-46.64103,15.64472
-46.59951,15.63618
-46.558,15.63864
-46.51648,15.66155
-46.47497,15.69861
-46.43346,15.74763
-46.39194,15.83725
-46.35043,15.92268
-46.30891,15.97706
-46.2674,16.02932
-46.22589,16.0813
-46.18437,16.15274
-46.14286,16.25423
-46.10134,16.35828
-46.05983,16.4435
-46.01832,16.50101
-45.9768,16.53289
-45.93529,16.54492
-45.89377,16.55361
-45.85226,16.57425
-45.81074,16.59108
-45.76923,16.60943
-45.72772,16.62352
-45.6862,16.64019
-45.64469,16.66519
-45.60317,16.71753
-45.56166,16.80406
-45.52015,16.91958
-45.47863,17.02922
-45.43712,17.08797
-45.3956,17.1118
-45.35409,17.10788
-45.31258,17.10488
-45.27106,17.14282
-45.22955,17.22345
-45.18803,17.33147
-45.14652,17.44709
-45.10501,17.564
-45.06349,17.63482
-45.02198,17.62587
-44.98046,17.56287
-44.93895,17.49185
